timestamp_utc,model,condition,task,number,band,source_text,gold_text,gold_number,raw_output,pred_text,pred_norm,pred_number,correct,latency_sec,usage_input_tokens,usage_output_tokens,error
2026-03-08 21:42:05.014339+00:00,gpt-4.1,direct,digit_to_word,0.0,0-69,0,zero,0.0,zéro,zéro,zéro,,0,0.921,52,3,
2026-03-08 21:42:05.647935+00:00,gpt-4.1,direct,digit_to_word,1.0,0-69,1,un,1.0,un,un,un,,1,0.633,52,2,
2026-03-08 21:42:06.081530+00:00,gpt-4.1,direct,digit_to_word,2.0,0-69,2,deux,2.0,deux,deux,deux,,1,0.433,52,3,
2026-03-08 21:42:06.608805+00:00,gpt-4.1,direct,digit_to_word,3.0,0-69,3,trois,3.0,trois,trois,trois,,1,0.527,52,3,
2026-03-08 21:42:07.096397+00:00,gpt-4.1,direct,digit_to_word,4.0,0-69,4,quatre,4.0,quatre,quatre,quatre,,1,0.487,52,3,
2026-03-08 21:42:07.620192+00:00,gpt-4.1,direct,digit_to_word,5.0,0-69,5,cinq,5.0,cinq,cinq,cinq,,1,0.524,52,3,
2026-03-08 21:42:08.019322+00:00,gpt-4.1,direct,digit_to_word,6.0,0-69,6,six,6.0,six,six,six,,1,0.399,52,2,
2026-03-08 21:42:08.640942+00:00,gpt-4.1,direct,digit_to_word,7.0,0-69,7,sept,7.0,sept,sept,sept,,1,0.621,52,2,
2026-03-08 21:42:09.197026+00:00,gpt-4.1,direct,digit_to_word,8.0,0-69,8,huit,8.0,huit,huit,huit,,1,0.556,52,3,
2026-03-08 21:42:09.836142+00:00,gpt-4.1,direct,digit_to_word,9.0,0-69,9,neuf,9.0,neuf,neuf,neuf,,1,0.639,52,3,
2026-03-08 21:42:10.391457+00:00,gpt-4.1,direct,digit_to_word,10.0,0-69,10,dix,10.0,dix,dix,dix,,1,0.555,52,3,
2026-03-08 21:42:10.990696+00:00,gpt-4.1,direct,digit_to_word,11.0,0-69,11,onze,11.0,onze,onze,onze,,1,0.599,52,3,
2026-03-08 21:42:11.458810+00:00,gpt-4.1,direct,digit_to_word,12.0,0-69,12,douze,12.0,douze,douze,douze,,1,0.468,52,3,
2026-03-08 21:42:12.068243+00:00,gpt-4.1,direct,digit_to_word,13.0,0-69,13,treize,13.0,treize,treize,treize,,1,0.609,52,3,
2026-03-08 21:42:12.712523+00:00,gpt-4.1,direct,digit_to_word,14.0,0-69,14,quatorze,14.0,quatorze,quatorze,quatorze,,1,0.644,52,4,
2026-03-08 21:42:13.454803+00:00,gpt-4.1,direct,digit_to_word,15.0,0-69,15,quinze,15.0,quinze,quinze,quinze,,1,0.742,52,3,
2026-03-08 21:42:14.067386+00:00,gpt-4.1,direct,digit_to_word,16.0,0-69,16,seize,16.0,seize,seize,seize,,1,0.612,52,3,
2026-03-08 21:42:14.633184+00:00,gpt-4.1,direct,digit_to_word,17.0,0-69,17,dix-sept,17.0,dix-sept,dix-sept,dix-sept,,1,0.5660000000000001,52,5,
2026-03-08 21:42:15.105364+00:00,gpt-4.1,direct,digit_to_word,18.0,0-69,18,dix-huit,18.0,dix-huit,dix-huit,dix-huit,,1,0.47200000000000003,52,5,
2026-03-08 21:42:15.493274+00:00,gpt-4.1,direct,digit_to_word,19.0,0-69,19,dix-neuf,19.0,dix-neuf,dix-neuf,dix-neuf,,1,0.388,52,5,
2026-03-08 21:42:16.021753+00:00,gpt-4.1,direct,digit_to_word,20.0,0-69,20,vingt,20.0,vingt,vingt,vingt,,1,0.528,52,3,
2026-03-08 21:42:16.500893+00:00,gpt-4.1,direct,digit_to_word,21.0,0-69,21,vingt et un,21.0,vingt et un,vingt et un,vingt et un,,1,0.47900000000000004,52,5,
2026-03-08 21:42:16.986897+00:00,gpt-4.1,direct,digit_to_word,22.0,0-69,22,vingt-deux,22.0,vingt-deux,vingt-deux,vingt-deux,,1,0.486,52,5,
2026-03-08 21:42:17.491582+00:00,gpt-4.1,direct,digit_to_word,23.0,0-69,23,vingt-trois,23.0,vingt-trois,vingt-trois,vingt-trois,,1,0.504,52,6,
2026-03-08 21:42:18.672533+00:00,gpt-4.1,direct,digit_to_word,24.0,0-69,24,vingt-quatre,24.0,vingt-quatre,vingt-quatre,vingt-quatre,,1,1.181,52,5,
2026-03-08 21:42:19.106119+00:00,gpt-4.1,direct,digit_to_word,25.0,0-69,25,vingt-cinq,25.0,vingt-cinq,vingt-cinq,vingt-cinq,,1,0.433,52,5,
2026-03-08 21:42:19.664408+00:00,gpt-4.1,direct,digit_to_word,26.0,0-69,26,vingt-six,26.0,vingt-six,vingt-six,vingt-six,,1,0.558,52,4,
2026-03-08 21:42:20.237155+00:00,gpt-4.1,direct,digit_to_word,27.0,0-69,27,vingt-sept,27.0,vingt-sept,vingt-sept,vingt-sept,,1,0.5720000000000001,52,5,
2026-03-08 21:42:20.720017+00:00,gpt-4.1,direct,digit_to_word,28.0,0-69,28,vingt-huit,28.0,vingt-huit,vingt-huit,vingt-huit,,1,0.483,52,5,
2026-03-08 21:42:21.295331+00:00,gpt-4.1,direct,digit_to_word,29.0,0-69,29,vingt-neuf,29.0,vingt-neuf,vingt-neuf,vingt-neuf,,1,0.5750000000000001,52,5,
2026-03-08 21:42:21.753062+00:00,gpt-4.1,direct,digit_to_word,30.0,0-69,30,trente,30.0,trente,trente,trente,,1,0.458,52,3,
2026-03-08 21:42:22.223838+00:00,gpt-4.1,direct,digit_to_word,31.0,0-69,31,trente et un,31.0,trente et un,trente et un,trente et un,,1,0.47100000000000003,52,5,
2026-03-08 21:42:22.709008+00:00,gpt-4.1,direct,digit_to_word,32.0,0-69,32,trente-deux,32.0,trente-deux,trente-deux,trente-deux,,1,0.485,52,5,
2026-03-08 21:42:23.192481+00:00,gpt-4.1,direct,digit_to_word,33.0,0-69,33,trente-trois,33.0,trente-trois,trente-trois,trente-trois,,1,0.483,52,6,
2026-03-08 21:42:23.760697+00:00,gpt-4.1,direct,digit_to_word,34.0,0-69,34,trente-quatre,34.0,trente-quatre,trente-quatre,trente-quatre,,1,0.5680000000000001,52,5,
2026-03-08 21:42:24.197629+00:00,gpt-4.1,direct,digit_to_word,35.0,0-69,35,trente-cinq,35.0,trente-cinq,trente-cinq,trente-cinq,,1,0.437,52,5,
2026-03-08 21:42:24.797340+00:00,gpt-4.1,direct,digit_to_word,36.0,0-69,36,trente-six,36.0,trente-six,trente-six,trente-six,,1,0.599,52,4,
2026-03-08 21:42:25.366304+00:00,gpt-4.1,direct,digit_to_word,37.0,0-69,37,trente-sept,37.0,trente-sept,trente-sept,trente-sept,,1,0.5690000000000001,52,5,
2026-03-08 21:42:25.966387+00:00,gpt-4.1,direct,digit_to_word,38.0,0-69,38,trente-huit,38.0,trente-huit,trente-huit,trente-huit,,1,0.6000000000000001,52,5,
2026-03-08 21:42:26.448587+00:00,gpt-4.1,direct,digit_to_word,39.0,0-69,39,trente-neuf,39.0,trente-neuf,trente-neuf,trente-neuf,,1,0.482,52,5,
2026-03-08 21:42:26.867927+00:00,gpt-4.1,direct,digit_to_word,40.0,0-69,40,quarante,40.0,quarante,quarante,quarante,,1,0.419,52,3,
2026-03-08 21:42:27.449330+00:00,gpt-4.1,direct,digit_to_word,41.0,0-69,41,quarante et un,41.0,quarante et un,quarante et un,quarante et un,,1,0.581,52,5,
2026-03-08 21:42:28.033295+00:00,gpt-4.1,direct,digit_to_word,42.0,0-69,42,quarante-deux,42.0,quarante-deux,quarante-deux,quarante-deux,,1,0.584,52,5,
2026-03-08 21:42:28.577586+00:00,gpt-4.1,direct,digit_to_word,43.0,0-69,43,quarante-trois,43.0,quarante-trois,quarante-trois,quarante-trois,,1,0.544,52,6,
2026-03-08 21:42:29.285149+00:00,gpt-4.1,direct,digit_to_word,44.0,0-69,44,quarante-quatre,44.0,quarante-quatre,quarante-quatre,quarante-quatre,,1,0.707,52,5,
2026-03-08 21:42:29.789424+00:00,gpt-4.1,direct,digit_to_word,45.0,0-69,45,quarante-cinq,45.0,quarante-cinq,quarante-cinq,quarante-cinq,,1,0.504,52,5,
2026-03-08 21:42:30.214413+00:00,gpt-4.1,direct,digit_to_word,46.0,0-69,46,quarante-six,46.0,quarante-six,quarante-six,quarante-six,,1,0.425,52,4,
2026-03-08 21:42:30.763304+00:00,gpt-4.1,direct,digit_to_word,47.0,0-69,47,quarante-sept,47.0,quarante-sept,quarante-sept,quarante-sept,,1,0.549,52,5,
2026-03-08 21:42:31.272721+00:00,gpt-4.1,direct,digit_to_word,48.0,0-69,48,quarante-huit,48.0,quarante-huit,quarante-huit,quarante-huit,,1,0.509,52,5,
2026-03-08 21:42:31.786386+00:00,gpt-4.1,direct,digit_to_word,49.0,0-69,49,quarante-neuf,49.0,quarante-neuf,quarante-neuf,quarante-neuf,,1,0.513,52,5,
2026-03-08 21:42:32.230848+00:00,gpt-4.1,direct,digit_to_word,50.0,0-69,50,cinquante,50.0,cinquante,cinquante,cinquante,,1,0.444,52,4,
2026-03-08 21:42:32.808739+00:00,gpt-4.1,direct,digit_to_word,51.0,0-69,51,cinquante et un,51.0,cinquante et un,cinquante et un,cinquante et un,,1,0.578,52,6,
2026-03-08 21:42:33.291450+00:00,gpt-4.1,direct,digit_to_word,52.0,0-69,52,cinquante-deux,52.0,cinquante-deux,cinquante-deux,cinquante-deux,,1,0.482,52,6,
2026-03-08 21:42:33.782364+00:00,gpt-4.1,direct,digit_to_word,53.0,0-69,53,cinquante-trois,53.0,cinquante-trois,cinquante-trois,cinquante-trois,,1,0.491,52,7,
2026-03-08 21:42:34.377479+00:00,gpt-4.1,direct,digit_to_word,54.0,0-69,54,cinquante-quatre,54.0,cinquante-quatre,cinquante-quatre,cinquante-quatre,,1,0.595,52,6,
2026-03-08 21:42:34.883133+00:00,gpt-4.1,direct,digit_to_word,55.0,0-69,55,cinquante-cinq,55.0,cinquante-cinq,cinquante-cinq,cinquante-cinq,,1,0.505,52,6,
2026-03-08 21:42:35.346395+00:00,gpt-4.1,direct,digit_to_word,56.0,0-69,56,cinquante-six,56.0,cinquante-six,cinquante-six,cinquante-six,,1,0.463,52,5,
2026-03-08 21:42:35.937141+00:00,gpt-4.1,direct,digit_to_word,57.0,0-69,57,cinquante-sept,57.0,cinquante-sept,cinquante-sept,cinquante-sept,,1,0.591,52,6,
2026-03-08 21:42:36.477254+00:00,gpt-4.1,direct,digit_to_word,58.0,0-69,58,cinquante-huit,58.0,cinquante-huit,cinquante-huit,cinquante-huit,,1,0.54,52,6,
