timestamp_utc,model,condition,task,number,band,source_text,gold_text,gold_number,raw_output,pred_text,pred_norm,pred_number,correct,latency_sec,usage_input_tokens,usage_output_tokens,error
2026-03-08 21:39:28.694997+00:00,gpt-4.1,direct,digit_to_word,0,0-69,0,zero,0,zéro,zéro,zéro,,0,1.505,52,3,
2026-03-08 21:39:29.890054+00:00,gpt-4.1,direct,digit_to_word,1,0-69,1,un,1,un,un,un,,1,1.195,52,2,
2026-03-08 21:39:30.840156+00:00,gpt-4.1,direct,digit_to_word,2,0-69,2,deux,2,deux,deux,deux,,1,0.9500000000000001,52,3,
2026-03-08 21:39:31.746828+00:00,gpt-4.1,direct,digit_to_word,3,0-69,3,trois,3,trois,trois,trois,,1,0.906,52,3,
2026-03-08 21:39:32.906955+00:00,gpt-4.1,direct,digit_to_word,4,0-69,4,quatre,4,quatre,quatre,quatre,,1,1.16,52,3,
2026-03-08 21:39:33.480558+00:00,gpt-4.1,direct,digit_to_word,5,0-69,5,cinq,5,cinq,cinq,cinq,,1,0.5730000000000001,52,3,
2026-03-08 21:39:34.476401+00:00,gpt-4.1,direct,digit_to_word,6,0-69,6,six,6,six,six,six,,1,0.996,52,2,
2026-03-08 21:39:34.979767+00:00,gpt-4.1,direct,digit_to_word,7,0-69,7,sept,7,sept,sept,sept,,1,0.503,52,2,
2026-03-08 21:39:35.462059+00:00,gpt-4.1,direct,digit_to_word,8,0-69,8,huit,8,huit,huit,huit,,1,0.482,52,3,
2026-03-08 21:39:36.172061+00:00,gpt-4.1,direct,digit_to_word,9,0-69,9,neuf,9,neuf,neuf,neuf,,1,0.71,52,3,
2026-03-08 21:39:36.635086+00:00,gpt-4.1,direct,digit_to_word,10,0-69,10,dix,10,dix,dix,dix,,1,0.463,52,3,
2026-03-08 21:39:37.627978+00:00,gpt-4.1,direct,digit_to_word,11,0-69,11,onze,11,onze,onze,onze,,1,0.993,52,3,
2026-03-08 21:39:38.561195+00:00,gpt-4.1,direct,digit_to_word,12,0-69,12,douze,12,douze,douze,douze,,1,0.933,52,3,
2026-03-08 21:39:39.022730+00:00,gpt-4.1,direct,digit_to_word,13,0-69,13,treize,13,treize,treize,treize,,1,0.461,52,3,
2026-03-08 21:39:39.527638+00:00,gpt-4.1,direct,digit_to_word,14,0-69,14,quatorze,14,quatorze,quatorze,quatorze,,1,0.505,52,4,
2026-03-08 21:39:39.956123+00:00,gpt-4.1,direct,digit_to_word,15,0-69,15,quinze,15,quinze,quinze,quinze,,1,0.428,52,3,
2026-03-08 21:39:40.429236+00:00,gpt-4.1,direct,digit_to_word,16,0-69,16,seize,16,seize,seize,seize,,1,0.47300000000000003,52,3,
2026-03-08 21:39:40.798597+00:00,gpt-4.1,direct,digit_to_word,17,0-69,17,dix-sept,17,dix-sept,dix-sept,dix-sept,,1,0.369,52,5,
2026-03-08 21:39:41.278793+00:00,gpt-4.1,direct,digit_to_word,18,0-69,18,dix-huit,18,dix-huit,dix-huit,dix-huit,,1,0.48,52,5,
2026-03-08 21:39:41.698486+00:00,gpt-4.1,direct,digit_to_word,19,0-69,19,dix-neuf,19,dix-neuf,dix-neuf,dix-neuf,,1,0.419,52,5,
2026-03-08 21:39:42.258045+00:00,gpt-4.1,direct,digit_to_word,20,0-69,20,vingt,20,vingt,vingt,vingt,,1,0.559,52,3,
2026-03-08 21:39:42.843551+00:00,gpt-4.1,direct,digit_to_word,21,0-69,21,vingt et un,21,vingt et un,vingt et un,vingt et un,,1,0.585,52,5,
2026-03-08 21:39:43.356145+00:00,gpt-4.1,direct,digit_to_word,22,0-69,22,vingt-deux,22,vingt-deux,vingt-deux,vingt-deux,,1,0.512,52,5,
2026-03-08 21:39:43.924201+00:00,gpt-4.1,direct,digit_to_word,23,0-69,23,vingt-trois,23,vingt-trois,vingt-trois,vingt-trois,,1,0.5680000000000001,52,6,
2026-03-08 21:39:44.369191+00:00,gpt-4.1,direct,digit_to_word,24,0-69,24,vingt-quatre,24,vingt-quatre,vingt-quatre,vingt-quatre,,1,0.445,52,5,
